municipality,year,week,season,ndvi,evi,temperature,temperature_max,temperature_min,rainfall_total,humidity,solar_radiation,wind_speed
Ligao,2013,51,Dry,0.802,0.4462,24.47,25.08,23.36,49.31,85.82571428571428,11.957142857142856,4.1085714285714285
Ligao,2013,52,Dry,0.8015,0.5186,23.33857143,24.3,22.29,81.21,88.25,9.39857142857143,4.718571428571429
Ligao,2014,1,Dry,0.8129,0.5059,22.81,23.64,21.69,5.8100000000000005,82.54714285714286,14.195714285714288,3.575714285714285
Ligao,2014,2,Dry,0.8513,0.4708,24.26857143,26.02,22.97,17.57,82.43142857142857,15.725714285714286,3.18
Ligao,2014,3,Dry,0.7838,0.5519,25.76571429,26.44,25.31,1.48,82.78428571428572,19.345714285714283,2.1585714285714284
Ligao,2014,4,Dry,0.7828,0.5661,24.44571429,25.56,23.84,9.12,80.61142857142856,17.59714285714286,2.858571428571428
Ligao,2014,5,Dry,0.7751,0.5027,23.88,24.23,23.6,44.77,78.79142857142857,17.27285714285714,2.891428571428572
Ligao,2014,7,Dry,0.7766,0.5622,24.92857143,25.4,24.3,3.62,78.57857142857142,20.342857142857145,2.742857142857143
Ligao,2014,8,Dry,0.7858,0.4763,24.89428571,25.11,24.61,9.04,78.07142857142857,21.09,2.617142857142857
Ligao,2014,9,Dry,0.7705,0.4675,25.60142857,26.16,24.97,68.01,82.44571428571429,17.43285714285714,3.442857142857143
Ligao,2014,10,Hot Dry,0.7709,0.4451,25.68571429,26.15,25.23,63.81,80.24000000000001,19.078571428571426,3.4442857142857144
Ligao,2014,11,Hot Dry,0.7189,0.5477,26.21285714,26.72,25.6,51.83,85.18714285714285,18.25857142857143,2.847142857142857
Ligao,2014,12,Hot Dry,0.7562,0.5194,26.53857143,26.93,26.36,0.09,81.01571428571428,23.47714285714286,2.4
Ligao,2014,13,Hot Dry,0.7741,0.4829,26.72857143,27.06,26.24,12.66,79.72428571428573,20.73,2.5357142857142856
Ligao,2014,15,Hot Dry,0.7517,0.588,26.26285714,27.11,25.6,79.8,87.14428571428572,14.44285714285714,2.505714285714286
Ligao,2014,16,Hot Dry,0.8137,0.4998,27.20857143,27.81,26.49,17.22,82.94714285714285,21.638571428571428,2.0785714285714287
Ligao,2014,17,Hot Dry,0.7649,0.5764,28.25571429,28.45,28.05,2.29,78.99142857142856,23.29428571428572,2.0028571428571427
Ligao,2014,18,Hot Dry,0.7508,0.5782,28.08,28.4,27.48,0.41,81.41,22.205714285714286,2.005714285714286
Ligao,2014,19,Hot Dry,0.7998,0.4853,28.66714286,28.97,28.11,8.46,77.47857142857143,24.08142857142857,2.1228571428571428
Ligao,2014,20,Hot Dry,0.7895,0.4947,28.75285714,29.07,28.39,6.65,77.95857142857143,23.312857142857144,1.9914285714285715
Ligao,2014,21,Hot Dry,0.7041,0.5439,29.24428571,30.11,28.3,10.21,76.43142857142857,23.054285714285715,1.5414285714285716
Ligao,2014,23,Wet,0.756,0.5403,29.76571429,30.65,28.86,14.73,72.16285714285713,20.722857142857144,1.2185714285714286
Ligao,2014,24,Wet,0.6843,0.4405,28.35285714,29.04,28.02,44.66,83.07571428571428,20.99428571428572,1.8542857142857143
Ligao,2014,25,Wet,0.8097,0.5641,28.09571429,28.87,27.4,47.4,82.43714285714286,20.542857142857144,2.1814285714285715
Ligao,2014,26,Wet,0.7226,0.5241,28.05857143,28.48,27.51,74.78,80.78714285714285,19.232857142857146,1.89
Ligao,2014,27,Wet,0.8712,0.5409,27.36285714,27.62,26.92,46.12,85.51285714285714,15.191428571428572,2.5828571428571427
Ligao,2014,28,Wet,0.6113,0.3993,27.70714286,28.77,27.03,20.39,83.45857142857143,19.73,2.3114285714285714
