municipality,latitude,longitude,date,year,month,week_of_month,week_number,season,ndvi,evi,source,collection,target_month,source_month,source_month_name,source_script,source_file,source_year
Ligao,13.2167,123.5167,2026-03-22,2026,3,4,12,Hot Dry,0.5430487643520729,0.24311584504264272,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Ligao,13.2167,123.5167,2026-03-30,2026,3,5,14,Hot Dry,0.5846013501880437,0.3692965991516566,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Ligao,13.2167,123.5167,2026-04-07,2026,4,2,15,Hot Dry,0.5670396161319484,0.34221896150612985,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Ligao,13.2167,123.5167,2026-04-15,2026,4,3,16,Hot Dry,0.5229336505620841,0.3219067873916141,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Malinao,13.25,123.6,2026-03-22,2026,3,4,12,Hot Dry,0.5868837152146699,0.21982520576690182,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Malinao,13.25,123.6,2026-03-30,2026,3,5,14,Hot Dry,0.5696505133948381,0.21130586971724563,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Malinao,13.25,123.6,2026-04-07,2026,4,2,15,Hot Dry,0.467240180688265,0.37625573089780506,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Malinao,13.25,123.6,2026-04-15,2026,4,3,16,Hot Dry,0.6319458562371951,0.315030371886534,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Oas,13.2333,123.5,2026-03-22,2026,3,4,12,Hot Dry,0.5108882054751362,0.2283736408848145,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Oas,13.2333,123.5,2026-03-30,2026,3,5,14,Hot Dry,0.5337839601748022,0.3528764774484125,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Oas,13.2333,123.5,2026-04-07,2026,4,2,15,Hot Dry,0.5362746071212394,0.3203028736006903,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Oas,13.2333,123.5,2026-04-15,2026,4,3,16,Hot Dry,0.4033936286537889,0.25403993589856466,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Pio Duran,13.0667,123.4333,2026-03-22,2026,3,4,12,Hot Dry,0.36972186150149894,0.3915681243048611,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Pio Duran,13.0667,123.4333,2026-03-30,2026,3,5,14,Hot Dry,0.5779770778881391,0.3600780248113865,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Pio Duran,13.0667,123.4333,2026-04-07,2026,4,2,15,Hot Dry,0.3764346702071751,0.22030740534174853,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Pio Duran,13.0667,123.4333,2026-04-15,2026,4,3,16,Hot Dry,0.5136108724128909,0.2177746626641765,MODIS,modis-13Q1-061,2026-04,4,April,script1,albay_modis_script1_2026_04_20260513_005116.csv,2026
Polangui,13.2833,123.4833,2026-03-22,2026,3,4,12,Hot Dry,0.5535749168179067,0.28757036340382736,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Polangui,13.2833,123.4833,2026-03-30,2026,3,5,14,Hot Dry,0.4878657639808016,0.2965395545543376,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Polangui,13.2833,123.4833,2026-04-07,2026,4,2,15,Hot Dry,0.3793655333875834,0.21441031593899562,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
Polangui,13.2833,123.4833,2026-04-15,2026,4,3,16,Hot Dry,0.5970551002243635,0.3268707489691793,MODIS,modis-13Q1-061,2026-04,4,April,script2,albay_modis_script2_2026_04_20260513_011200.csv,2026
