Municipality,Year,crop,yield,season,Max_Wind_Kts,Min_Pres_mb,Duration_Hrs,Risk_Score
Ligao,2016,Rice,5.34,Dry,110,924,0,55
Ligao,2016,Rice,4.8,Wet,110,924,0,55
Ligao,2016,Corn,4.57,Dry,110,924,0,55
Ligao,2016,Corn,4.46,Wet,110,924,0,55
Malinao,2016,Rice,4.03,Dry,120,924,3,66
Malinao,2016,Rice,3.94,Wet,120,924,3,66
Malinao,2016,Corn,0,Dry,120,924,3,66
Malinao,2016,Corn,0,Wet,120,924,3,66
Oas,2016,Rice,4.8,Wet,110,924,0,55
Oas,2016,Rice,5.57,Dry,110,924,0,55
Oas,2016,Corn,4.62,Wet,110,924,0,55
Oas,2016,Corn,4.74,Dry,110,924,0,55
Pioduran,2016,Rice,2.95,Wet,0,1013,0,0
Pioduran,2016,Rice,3.68,Dry,0,1013,0,0
Pioduran,2016,Corn,4.32,Dry,0,1013,0,0
Pioduran,2016,Corn,4.21,Wet,0,1013,0,0
Polangui,2016,Rice,4.92,Dry,110,924,0,55
Polangui,2016,Rice,4.27,Wet,110,924,0,55
Polangui,2016,Corn,4.51,Dry,110,924,0,55
Polangui,2016,Corn,4.4,Wet,110,924,0,55
Ligao,2017,Rice,6.44,Dry,30,1002,0,15
Ligao,2017,Rice,6.44,Dry,30,1002,0,15
Ligao,2017,Corn,4.46,Wet,30,1002,0,15
Ligao,2017,Corn,4.57,Dry,30,1002,0,15
Malinao,2017,Rice,3.92,Wet,0,1013,0,0
Malinao,2017,Rice,3.65,Dry,0,1013,0,0
Malinao,2017,Corn,0,Wet,0,1013,0,0
Malinao,2017,Corn,0,Dry,0,1013,0,0
Oas,2017,Rice,5.48,Dry,30,1002,0,15
Oas,2017,Rice,4.16,Wet,30,1002,0,15
Oas,2017,Corn,4.74,Dry,30,1002,0,15
Oas,2017,Corn,4.62,Wet,30,1002,0,15
Pioduran,2017,Rice,3.26,Dry,30,1002,0,15
Pioduran,2017,Rice,2.61,Wet,30,1002,0,15
Pioduran,2017,Corn,4.32,Dry,30,1002,0,15
Pioduran,2017,Corn,4.21,Wet,30,1002,0,15
Polangui,2017,Rice,4.06,Wet,30,1002,0,15
Polangui,2017,Rice,5.48,Dry,30,1002,0,15
